Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
20,Southwell,2,Above (FR),9-8,R M H Cowell,Billy Loughnane,84,581050,(3),17,6,t p,,D   
20,Southwell,3,Strong Johnson,9-7,P T Midgley,P J McDonald,83,081626,(8),17,7,,,D   
20,Southwell,4,Crimson Sand,9-5,Simon Earle,Aidan Keeley,81,920633,(5),17,5,p,3,D   
20,Southwell,5,Simple Man,9-3,H Candy,T E Whelan,79,17-205,(2),88,3,,,D   
20,Southwell,6,Conquistador,9-2,S C Williams,Luke Catton,78,758478,(10),17,3,,5,D   bf
20,Southwell,7,Rose King,8-11,S Dixon,Phil Dennis,73,834242,(9),7,3,,,  CD 
20,Southwell,8,Captain's Bar,8-11,S Dixon,K T O'Neill,73,190631,(1),7,4,(ex5) b,,  CD 
20,Southwell,9,Zargun (GER),8-8,S Dixon,Elisha Whittington,70,70-0009,(7),7,8,,5,D   
20,Southwell,10,Stone Of Destiny,8-7,M Appleby,Joanna Mason,69,236414,(6),7,8,,,  CD 
20,Southwell,11,Honour Your Dreams (FR),8-6,Adrian Keatley,J Quinn,68,852926,(4),8,3,v,,D   
21,Southwell,1,Dark Side Thunder,9-11,Jessica Macey,Lewis Edmunds,77,352315,(4),16,4,p,,  CD bf
21,Southwell,2,Topo Chico,9-10,David Loughnane,Laura Pearson,76,291145,(6),16,3,,,D   
21,Southwell,3,Beelzebub,9-9,Alice Haynes,K T O'Neill,75,304656,(11),78,3,t1,,D   
21,Southwell,4,Razzam,9-9,M Appleby,Alistair Rawlinson,75,123773,(2),44,3,,,   
21,Southwell,5,Magical Max,9-8,Ivan Furtado,T Eaves,74,106025,(8),21,6,t,,D   
21,Southwell,6,Airshow,9-7,B R Millman,Oliver Searle,73,233205,(10),88,8,h,7,  CD 
21,Southwell,7,Tyke,9-7,M Appleby,Callum Hutchinson,73,388102,(1),8,3,,3,  CD 
21,Southwell,8,Snash,9-5,T D Easterby,D Allan,71,579101,(7),17,5,p,,  CD 
21,Southwell,9,Nammos,9-5,Jane Chapple-Hyam,Benoit D L Sayette,71,220-6,(3),16,3,,,   
21,Southwell,10,Jeans Maite,9-2,S R Bowring,Ben Sanderson,68,404263,(12),17,7,,3, C  
21,Southwell,11,Wee Fat Mac,9-1,I Jardine,A Mullen,67,740411,(9),13,4,t,,D   
21,Southwell,12,Water Of Leith,8-10,J S Goldie,Mark Winn,62,667461,(5),8,5,(ex5) ,3,D C  
22,Southwell,1,Cloud Cuckoo,9-12,H Candy,T E Whelan,53,53-80,(11),227,4,,,   
22,Southwell,2,Elizabeth's Joy,9-12,Mrs A Duffield,D Allan,55,5340,(6),35,3,,,   
22,Southwell,3,Smasher,9-12,M J Attwater,Paddy Bradley,53,632632,(3),18,3,,3,   
22,Southwell,4,Tantastic,9-12,T Coyle,T Eaves,47,952465,(1),177,5,,, C  
22,Southwell,5,Toptime,9-12,S R Bowring,Lewis Edmunds,48,8-70008,(7),84,5,,,  CD 
22,Southwell,6,Wrath Of Hector,9-12,Jessica Macey,Ben Sanderson,47,222556,(2),123,6,,3,D C  
22,Southwell,7,Rusheen Boy,9-1,Miss J Feilden,Dylan Hogan,65,0601,(9),7,2,t h,,  CD 
22,Southwell,8,Amroon,8-9,M Botti,Harry Davies,55,024516,(10),24,2,t,,D   
22,Southwell,9,Dash Power,8-9,D C Griffiths,K T O'Neill,46,706860,(5),7,2,p1,,   
22,Southwell,10,Falmouth Boy,8-9,A W Carroll,Molly Gunn,54,5970,(12),22,2,,7,   
22,Southwell,11,Nassau Bay,8-9,Ivan Furtado,Cam Hardie,53,9960,(4),24,2,p1,,   
22,Southwell,12,Nevzilla,8-9,Craig Lidster,William Pyle,44,860,(8),135,2,,5,   
